ar,hlutf_med_vinnu,hlutf_atvinnulaus,hlutf_i_vinnuafli,land,innfluttir,utfluttir,haelisumsoknir,nyir_innlendir_rikisborgarar,erlendir_rikisborgarar_samtals,samthykkt,hafnad
2021,0.7020000000000001,0.08900000000000001,0.77,Noregur,0,0,1540,0,865000,1105,235
2000,0.551,0.166,0.6609999999999999,Pólland,14887,0,4571,841,0,NA,NA
2001,0.537,0.187,0.66,Pólland,20220,0,4496,652,753839,NA,NA
2002,0.517,0.20199999999999999,0.649,Pólland,28538,0,5141,975,0,NA,NA
2003,0.514,0.19699999999999998,0.64,Pólland,28556,0,6908,1404,17250,NA,NA
2004,0.272,0.182,0.33299999999999996,Pólland,34978,0,8069,1669,0,NA,NA
2005,0.299,0.12300000000000001,0.341,Pólland,37816,0,6845,2581,0,NA,NA
2006,0.354,0.071,0.382,Pólland,32716,0,4424,917,0,NA,NA
2007,0.368,0.094,0.406,Pólland,39598,0,7191,1428,0,NA,NA
2008,0.435,0.051,0.45799999999999996,Pólland,41175,0,7203,1054,0,2770,1475
2009,0.455,0.11599999999999999,0.515,Pólland,41249,0,10587,2501,0,2525,4055
2010,0.504,0.11599999999999999,0.57,Pólland,41027,0,6534,2926,0,505,3910
2011,0.552,0.11900000000000001,0.627,Pólland,41312,0,5086,2324,497100,480,2745
2012,0.619,0.069,0.664,Pólland,47109,0,9145,3789,16200,520,1960
2013,0.5920000000000001,0.122,0.675,Pólland,46513,38,13902,3169,0,685,2210
2014,0.63,0.121,0.716,Pólland,31634,50,5334,4493,0,720,1985
2015,0.607,0.106,0.679,Pólland,85234,18,10003,4037,0,640,2870
2016,0.626,0.102,0.698,Pólland,106311,13,9830,2857,0,290,2185
2017,0.6990000000000001,0.083,0.762,Pólland,127308,65,2975,1779,0,510,2090
2018,0.73,0.047,0.7659999999999999,Pólland,136825,29,2380,4598,0,375,2120
2019,0.75,0.057,0.795,Pólland,163258,29,2730,11013,0,265,1730
2020,0.764,NA,0.8029999999999999,Pólland,162796,14,1480,7141,0,370,1625
2021,0.804,0.051,0.847,Pólland,0,0,6200,0,0,2155,1455
2000,0.7020000000000001,0.064,0.75,Portúgal,13790,295,223,676,0,NA,NA
2001,0.713,0.057999999999999996,0.757,Portúgal,137704,65,231,1014,0,NA,NA
2002,0.745,0.062,0.794,Portúgal,65058,64,245,1284,607807,NA,NA
2003,0.727,0.091,0.799,Portúgal,27448,130,85,1557,0,NA,NA
2004,0.701,0.09699999999999999,0.7759999999999999,Portúgal,31483,97,113,1261,0,NA,NA
2005,0.725,0.094,0.8,Portúgal,25832,207,114,853,0,NA,NA
2006,0.718,0.098,0.795,Portúgal,20583,74,128,3432,0,NA,NA
2007,0.731,0.096,0.809,Portúgal,28441,0,224,5709,0,NA,NA
2008,0.74,0.095,0.8170000000000001,Portúgal,68506,0,160,21772,0,65,40
2009,0.698,0.131,0.804,Portúgal,57655,0,139,26675,0,45,45
2010,0.691,0.15,0.813,Portúgal,46869,0,160,21080,0,60,70
2011,0.687,0.16899999999999998,0.8270000000000001,Portúgal,41697,0,275,22667,782223,65,50
2012,0.664,0.19399999999999998,0.8240000000000001,Portúgal,34812,0,295,21310,0,95,125
2013,0.626,0.218,0.8,Portúgal,29478,0,506,23903,0,135,170
2014,0.6659999999999999,0.16899999999999998,0.802,Portúgal,31099,0,195,21123,0,105,120
2015,0.68,0.14800000000000002,0.7979999999999999,Portúgal,33065,0,625,20395,0,195,175
2016,0.7040000000000001,0.133,0.812,Portúgal,39861,0,1453,25101,0,325,275
2017,0.743,0.1,0.826,Portúgal,52442,0,985,17558,0,500,455
2018,0.7509999999999999,0.085,0.821,Portúgal,83589,0,1210,20742,0,630,420
2019,0.763,0.084,0.833,Portúgal,117368,0,1700,20584,0,175,575
2020,0.737,0.09,0.81,Portúgal,108041,0,875,30413,0,95,325
2021,0.769,0.07,0.8270000000000001,Portúgal,0,0,1315,0,0,305,205
2000,0.563,0.191,0.695,Slóvakía,0,0,1555,0,0,NA,NA
2001,0.5670000000000001,0.19399999999999998,0.7040000000000001,Slóvakía,0,0,8148,0,0,NA,NA
2002,0.565,0.187,0.695,Slóvakía,0,0,9682,0,111166,NA,NA
2003,0.545,0.22399999999999998,0.7020000000000001,Slóvakía,4523,3590,10260,3490,0,NA,NA
2004,0.524,0.247,0.6970000000000001,Slóvakía,7859,4966,11384,4011,0,NA,NA
2005,0.514,0.222,0.66,Slóvakía,7608,1056,3539,1364,206718,NA,NA
2006,0.552,0.139,0.6409999999999999,Slóvakía,4539,767,2863,1121,0,NA,NA
2007,0.66,0.068,0.7090000000000001,Slóvakía,7395,696,2638,1473,0,NA,NA
2008,0.6809999999999999,0.068,0.731,Slóvakía,7595,759,909,554,0,90,280
2009,0.606,0.131,0.6970000000000001,Slóvakía,5617,1742,822,295,0,175,145
2010,0.565,0.11800000000000001,0.64,Slóvakía,4433,1310,541,241,0,90,205
2011,0.594,0.156,0.7040000000000001,Slóvakía,3860,749,491,273,0,120,105
2012,0.637,0.11599999999999999,0.72,Slóvakía,2941,80,545,259,169845,190,250
2013,0.664,0.107,0.7440000000000001,Slóvakía,2475,38,281,211,172665,70,125
2014,0.6609999999999999,0.07400000000000001,0.713,Slóvakía,2418,69,114,235,174905,170,110
2015,0.584,0.136,0.6759999999999999,Slóvakía,3774,35,188,312,177621,80,55
2016,0.647,0.062,0.69,Slóvakía,3610,127,100,487,181639,210,40
2017,0.698,0.052000000000000005,0.736,Slóvakía,2911,31,140,649,186214,65,30
2018,0.733,NA,0.789,Slóvakía,2869,32,145,721,190305,40,40
2019,0.787,NA,0.8170000000000001,Slóvakía,2486,39,210,586,194386,30,55
2020,0.733,NA,0.7809999999999999,Slóvakía,2834,9,260,548,198426,35,45
2021,0.737,0.081,0.802,Slóvakía,0,0,315,0,191000,45,85
2000,0.601,0.152,0.7090000000000001,Spánn,330851,0,7914,10114,1465011,NA,NA
2001,0.6409999999999999,0.125,0.732,Spánn,394028,0,9468,16331,1960497,NA,NA
2002,0.653,0.136,0.755,Spánn,443048,6930,6233,21396,2583794,NA,NA
2003,0.655,0.141,0.762,Spánn,429449,9969,5859,26135,3290581,NA,NA
2004,0.6659999999999999,0.139,0.774,Spánn,645762,41926,5513,37915,3682294,NA,NA
2005,0.693,0.11199999999999999,0.78,Spánn,682659,48704,5189,42460,4378728,NA,NA
2006,0.6970000000000001,0.11199999999999999,0.785,Spánn,802887,120231,5175,61952,4825032,NA,NA
2007,0.703,0.10300000000000001,0.7829999999999999,Spánn,920458,198941,7634,71309,5237262,NA,NA
2008,0.6579999999999999,0.16399999999999998,0.7859999999999999,Spánn,567266,254857,4514,83672,5877189,280,4850
2009,0.574,0.27399999999999997,0.7909999999999999,Spánn,365264,344075,3007,79547,6223740,350,4140
2010,0.5529999999999999,0.305,0.795,Spánn,330134,363153,2732,123690,6278199,610,2175
2011,0.551,0.305,0.792,Spánn,335626,353388,3283,114555,6280373,985,2405
2012,0.521,0.345,0.7959999999999999,Spánn,272182,389200,2531,115561,6293087,525,2080
2013,0.507,0.358,0.789,Spánn,248046,458748,4476,225777,6172657,535,1840
2014,0.523,0.33299999999999996,0.785,Spánn,264143,319834,5221,205873,5956130,1585,2040
2015,0.552,0.298,0.787,Spánn,289485,249141,12712,114320,5888759,1020,2225
2016,0.5760000000000001,0.261,0.779,Spánn,351536,237390,16247,150852,5915376,6860,3395
2017,0.596,0.23399999999999999,0.779,Spánn,453435,281784,30120,66470,6020173,4090,7970
2018,0.616,0.207,0.7759999999999999,Spánn,559351,230088,52685,90754,6194152,2895,8995
2019,0.627,0.18899999999999997,0.774,Spánn,663994,219733,115165,98916,6534683,38420,19620
2020,0.574,0.233,0.75,Spánn,390504,171114,86355,126220,6990892,51055,73745
2021,0.604,0.21600000000000003,0.7709999999999999,Spánn,0,0,62010,0,6856000,20400,50590
2000,0.498,0.124,0.568,Svíþjóð,42473,12576,15891,43113,860988,NA,NA
2001,0.618,0.1,0.687,Svíþjóð,44117,12702,22977,36399,1003698,NA,NA
2002,0.621,0.102,0.691,Svíþjóð,47603,14008,32157,37792,1027906,NA,NA
2003,0.623,0.111,0.701,Svíþjóð,47988,15134,29561,33222,1053414,NA,NA
2004,0.613,0.135,0.708,Svíþjóð,47580,16021,21583,28599,1078035,NA,NA
2005,0.61,0.14400000000000002,0.713,Svíþjóð,51297,15852,16724,39271,1100253,NA,NA
2006,0.616,0.134,0.7120000000000001,Svíþjóð,80398,20033,23502,50901,1125785,NA,NA
2007,0.631,0.121,0.718,Svíþjóð,83536,20428,35058,33437,1175195,NA,NA
2008,0.64,0.122,0.7290000000000001,Svíþjóð,83318,19242,23302,30254,1227765,7845,21695
2009,0.621,0.154,0.7340000000000001,Svíþjóð,82849,18356,24194,29307,1281575,7095,16890
2010,0.612,0.16399999999999998,0.732,Svíþjóð,78085,22045,31823,32171,1336764,8510,19205
2011,0.625,0.163,0.746,Svíþjóð,74903,23647,29648,36248,1389355,8795,15080
2012,0.628,0.161,0.7490000000000001,Svíþjóð,81624,26600,40913,49524,1428467,12395,12985
2013,0.629,0.16399999999999998,0.752,Svíþjóð,94507,24554,46771,49327,1468834,24015,12040
2014,0.635,0.16399999999999998,0.76,Svíþjóð,105915,26337,66365,42672,1528195,30650,9365
2015,0.6409999999999999,0.162,0.765,Svíþjóð,113676,31301,147158,47911,1597411,32360,16330
2016,0.649,0.159,0.7709999999999999,Svíþjóð,142799,23439,21192,60089,1669285,66590,29255
2017,0.6629999999999999,0.154,0.784,Svíþjóð,124774,23365,20585,68616,1776743,26775,34335
2018,0.667,0.157,0.7909999999999999,Svíþjóð,114209,24077,17090,63655,1868414,10650,20725
2019,0.6579999999999999,0.155,0.779,Svíþjóð,98010,25297,21675,64079,1945984,6065,14690
2020,0.63,0.193,0.78,Svíþjóð,65642,26718,12855,80037,2009114,4425,12815
2021,0.649,0.19399999999999998,0.805,Svíþjóð,0,0,9605,0,2030000,2950,7295
2000,0.7829999999999999,0.027000000000000003,0.805,Sviss,58727,39276,17610,21654,0,NA,NA
2001,0.757,0.046,0.7929999999999999,Sviss,63784,36297,20631,20609,1570713,NA,NA
2002,0.7879999999999999,0.03,0.812,Sviss,67536,33671,26116,27678,0,NA,NA
2003,0.726,0.081,0.79,Sviss,65209,31136,20635,26990,0,NA,NA
2004,0.723,0.083,0.789,Sviss,69510,32404,13541,27158,0,NA,NA
2005,0.7170000000000001,0.086,0.784,Sviss,69479,34149,9681,29592,0,NA,NA
2006,0.727,0.079,0.789,Sviss,76365,36830,10531,35292,0,NA,NA
2007,0.737,0.071,0.7929999999999999,Sviss,104068,40483,10386,32968,0,NA,NA
2008,0.755,0.062,0.804,Sviss,120318,37579,16521,34193,0,4835,2725
2009,0.757,0.069,0.8140000000000001,Sviss,95037,38189,15997,32700,0,6030,4670
2010,0.746,0.078,0.809,Sviss,131831,65392,13513,28133,0,7825,7270
2011,0.757,0.067,0.812,Sviss,139924,63808,19431,25055,1920271,6445,7855
2012,0.7609999999999999,0.07,0.8190000000000001,Sviss,141343,65641,25621,22948,1998889,4280,12500
2013,0.759,0.077,0.8220000000000001,Sviss,152755,69769,19010,24035,2056011,6385,10305
2014,0.763,0.077,0.826,Sviss,149898,68847,20802,30700,2127062,15415,6450
2015,0.765,0.079,0.831,Sviss,147889,73245,36867,37716,2191207,14000,7860
2016,0.7659999999999999,0.08199999999999999,0.8340000000000001,Sviss,140460,77354,25580,38329,2251593,13190,9420
2017,0.758,0.08,0.8240000000000001,Sviss,135155,78875,16245,40996,2313846,14615,1630
2018,0.7659999999999999,0.079,0.831,Sviss,137376,80543,13205,39198,2350866,15225,1795
2019,0.7709999999999999,0.073,0.831,Sviss,138692,80072,12330,36921,2382848,10790,1540
2020,0.77,0.07400000000000001,0.833,Sviss,134916,70043,9570,31398,2419095,10190,1105
2021,0.752,0.081,0.818,Sviss,0,0,13065,0,2452000,9025,910
2000,0.614,0.08900000000000001,0.6729999999999999,Bretland,256237,136517,77795,76747,0,NA,NA
2001,0.626,0.073,0.674,Bretland,266613,116732,70775,84495,0,NA,NA
2002,0.63,0.076,0.682,Bretland,196000,58000,102875,113631,0,NA,NA
2003,0.628,0.07400000000000001,0.6779999999999999,Bretland,220000,56000,59910,117610,0,NA,NA
2004,0.634,0.07400000000000001,0.684,Bretland,268000,61000,40475,132204,0,NA,NA
2005,0.637,0.073,0.688,Bretland,258000,50000,30630,147222,0,NA,NA
2006,0.662,0.076,0.716,Bretland,312000,70000,28225,143350,5107000,NA,NA
2007,0.664,0.076,0.7190000000000001,Bretland,315000,89000,27315,153881,5511000,NA,NA
2008,0.679,0.067,0.728,Bretland,292000,129000,31185,121230,5957000,7090,16710
2009,0.6659999999999999,0.084,0.727,Bretland,329000,132000,30635,200513,6162000,8395,22710
2010,0.6679999999999999,0.08,0.727,Bretland,362000,252000,22615,192167,6337000,6490,20195
2011,0.667,0.095,0.737,Bretland,435000,173000,25454,175050,6654000,7240,15735
2012,0.665,0.09300000000000001,0.733,Bretland,359000,153000,27101,192031,6735269,7850,14190
2013,0.675,0.08900000000000001,0.741,Bretland,398000,151000,29496,206388,6983481,8550,14020
2014,0.6940000000000001,0.071,0.747,Bretland,479000,155000,30957,124870,7032000,10120,15880
2015,0.705,0.064,0.754,Bretland,467000,151000,38256,117352,7524000,13955,24310
2016,0.7190000000000001,0.055,0.7609999999999999,Bretland,368000,128000,37638,148170,8202000,9940,21085
2017,0.725,0.051,0.764,Bretland,426000,154000,32855,122397,8659000,8570,19355
2018,0.737,0.047,0.773,Bretland,377670,0,36555,155994,8726000,10105,18975
2019,0.747,0.043,0.78,Bretland,436426,0,43283,158366,8347000,14990,13605
2021,0.755,0.044000000000000004,0.799,Bretland,0,0,55299,0,0,0,0
2000,0.705,0.043,0.736,Bandaríkin,840412,0,39340,887003,29792986,NA,NA
2001,0.698,0.054000000000000006,0.738,Bandaríkin,1058058,0,58568,607201,31004011,NA,NA
2002,0.685,0.064,0.732,Bandaríkin,1058932,0,57637,572195,32555927,NA,NA
2003,0.685,0.066,0.7340000000000001,Bandaríkin,703212,0,42615,462073,33091157,NA,NA
2004,0.6970000000000001,0.055999999999999994,0.738,Bandaríkin,957512,0,44337,536766,33595496,NA,NA
2005,0.705,0.048,0.74,Bandaríkin,1121645,0,38852,603676,35137390,NA,NA
2006,0.716,0.042,0.747,Bandaríkin,1265259,0,40828,701935,36804239,NA,NA
2007,0.718,0.044000000000000004,0.7509999999999999,Bandaríkin,1051837,0,40119,660016,37371611,NA,NA
2008,0.708,0.059000000000000004,0.752,Bandaríkin,1110651,0,38922,1051701,37380868,NA,NA
2009,0.677,0.09699999999999999,0.75,Bandaríkin,1133510,0,38080,746966,37787282,NA,NA
2010,0.6759999999999999,0.098,0.75,Bandaríkin,1045096,0,42965,622043,39215443,NA,NA
2011,0.675,0.091,0.743,Bandaríkin,1064306,0,60583,696264,39641998,NA,NA
2012,0.677,0.081,0.737,Bandaríkin,1033682,0,66115,759322,40291902,NA,NA
2013,0.684,0.07,0.735,Bandaríkin,992607,0,66421,781607,40897587,NA,NA
2014,0.691,0.057999999999999996,0.7340000000000001,Bandaríkin,1018576,0,93147,654963,41108640,NA,NA
2015,0.6920000000000001,0.05,0.7290000000000001,Bandaríkin,1052839,0,133184,731669,42108631,NA,NA
2016,0.7,0.043,0.732,Bandaríkin,1185707,0,204259,754400,42455206,NA,NA
2017,0.71,0.04,0.74,Bandaríkin,1129219,0,256432,708488,43186316,NA,NA
2018,0.716,0.035,0.742,Bandaríkin,1098200,0,199693,763410,43353560,NA,NA
2019,0.722,0.031,0.746,Bandaríkin,1031454,0,253880,842999,43635918,NA,NA
2020,0.67,0.09,0.736,Bandaríkin,706987,0,206239,628095,40021247,NA,NA
2021,0.7,0.055999999999999994,0.742,Bandaríkin,0,0,188432,0,40946000,NA,NA
2000,0.63,0.122,0.718,Eistland,0,0,3,0,0,NA,NA
2001,0.625,0.138,0.725,Eistland,0,0,12,0,0,NA,NA
2002,0.632,0.13,0.727,Eistland,0,0,9,4091,0,NA,NA
2003,0.635,0.13699999999999998,0.736,Eistland,0,0,14,3706,0,NA,NA
2004,0.6659999999999999,0.124,0.76,Eistland,714,311,14,6523,0,NA,NA
2005,0.6890000000000001,0.105,0.769,Eistland,929,349,11,7072,0,NA,NA
2006,0.718,0.078,0.779,Eistland,1446,245,7,4753,0,NA,NA
2007,0.742,0.057,0.7879999999999999,Eistland,1905,193,14,4230,0,NA,NA
2008,0.748,0.06,0.7959999999999999,Eistland,1929,151,14,2124,0,5,5
2009,0.6779999999999999,0.14800000000000002,0.7959999999999999,Eistland,2194,193,36,1670,0,0,15
2010,0.591,0.228,0.7659999999999999,Eistland,1168,189,30,1189,0,15,25
2011,0.636,0.16899999999999998,0.765,Eistland,1634,154,67,1518,0,5,50
2012,0.672,0.129,0.772,Eistland,1078,114,77,1340,132055,10,45
2013,0.684,0.11,0.769,Eistland,1597,106,97,1330,199034,5,45
2014,0.68,0.09300000000000001,0.7490000000000001,Eistland,1343,115,37,1614,196908,20,35
2015,0.7020000000000001,0.078,0.762,Eistland,7367,677,139,897,194716,80,105
2016,0.708,0.09,0.778,Eistland,7302,2430,69,1775,193841,125,65
2017,0.7170000000000001,0.064,0.7659999999999999,Eistland,8636,3846,160,882,192540,95,60
2018,0.701,0.079,0.7609999999999999,Eistland,9224,3591,80,766,196266,20,60
2019,0.746,0.062,0.7959999999999999,Eistland,10994,6218,85,779,198043,45,45
2020,0.748,0.078,0.816,Eistland,4867,3007,35,770,199020,25,45
2021,0.7120000000000001,0.09699999999999999,0.7879999999999999,Eistland,0,0,60,0,173000,50,25
2012,0.748,0.052000000000000005,0.789,Ísrael,22032,0,0,0,1824720,NA,NA
2013,0.758,0.047,0.7959999999999999,Ísrael,22739,0,0,0,1805590,NA,NA
2014,0.774,0.046,0.812,Ísrael,34315,0,0,0,1794630,NA,NA
2015,0.78,0.043,0.8140000000000001,Ísrael,41577,0,0,0,1788990,NA,NA
2016,0.7859999999999999,0.04,0.8190000000000001,Ísrael,39238,0,0,0,1787130,NA,NA
2017,0.789,0.037000000000000005,0.8190000000000001,Ísrael,41312,0,14742,0,1783830,NA,NA
2018,0.7879999999999999,0.035,0.816,Ísrael,46041,0,15528,0,1782190,NA,NA
2019,0.7909999999999999,0.034,0.8190000000000001,Ísrael,55592,0,9408,0,1779390,NA,NA
2020,0.7829999999999999,0.042,0.8170000000000001,Ísrael,30534,0,1886,0,1783160,NA,NA
2021,0.779,0.046,0.816,Ísrael,0,0,1916,0,1767000,NA,NA
2000,0.64,0.09,0.7040000000000001,Slóvenía,0,1889,9244,0,178133,NA,NA
2001,0.679,0.08199999999999999,0.7390000000000001,Slóvenía,0,3135,1511,0,180558,NA,NA
2002,0.6629999999999999,0.078,0.7190000000000001,Slóvenía,0,4432,702,0,182251,NA,NA
2003,0.64,0.081,0.696,Slóvenía,0,3622,1100,0,182361,NA,NA
2004,0.648,0.077,0.7020000000000001,Slóvenía,0,5499,1278,0,184029,NA,NA
2005,0.672,0.069,0.722,Slóvenía,0,6213,1834,0,217078,NA,NA
2006,0.6679999999999999,0.07200000000000001,0.72,Slóvenía,0,10474,518,0,222203,NA,NA
2007,0.679,0.057,0.72,Slóvenía,27504,10965,425,1569,227374,NA,NA
2008,0.684,0.053,0.722,Slóvenía,25891,7258,238,1711,241469,0,155
2009,0.6609999999999999,0.07400000000000001,0.713,Slóvenía,23816,13508,183,1588,220811,15,115
2010,0.653,0.096,0.722,Slóvenía,10817,10212,240,1706,234413,20,95
2011,0.619,0.115,0.6990000000000001,Slóvenía,9535,6394,369,1708,219224,25,190
2012,0.639,0.109,0.7170000000000001,Slóvenía,10922,5505,264,1413,220328,30,185
2013,0.605,0.153,0.715,Slóvenía,10569,5196,242,1389,222276,35,160
2014,0.5820000000000001,0.13,0.669,Slóvenía,10012,5798,196,996,224165,45,50
2015,0.613,0.11900000000000001,0.696,Slóvenía,11134,5743,126,1175,225652,45,85
2016,0.624,0.111,0.703,Slóvenía,12277,5945,1261,1225,225025,170,100
2017,0.6629999999999999,0.084,0.7240000000000001,Slóvenía,14140,6716,1375,1465,228640,150,90
2018,0.67,0.065,0.7170000000000001,Slóvenía,21670,6123,2740,1892,233171,100,135
2019,0.68,0.059000000000000004,0.723,Slóvenía,24216,7690,3600,1853,246413,85,130
2020,0.6859999999999999,0.069,0.738,Slóvenía,21503,16607,3430,1658,260479,85,220
2021,0.6759999999999999,0.067,0.725,Slóvenía,0,0,5140,0,261000,15,160
2017,0.6659999999999999,0.08,0.7240000000000001,Latvía,4556,0,345,100,248834,265,90
2018,0.69,0.077,0.748,Latvía,6143,0,175,110,243008,35,95
2019,0.705,0.07,0.758,Latvía,6249,0,180,118,238240,35,120
2020,0.708,0.08800000000000001,0.784,Latvía,4205,3460,140,142,236437,25,100
2021,0.6709999999999999,0.08,0.7290000000000001,Latvía,0,0,580,0,226000,90,110
2000,NA,NA,NA,Ísrael,60068,0,6148,0,1660225,NA,NA
2000,NA,NA,NA,Kanada,227337,0,34245,212676,0,NA,NA
2000,NA,NA,NA,Latvía,1134,0,0,57,0,NA,NA
2000,NA,NA,NA,Nýja Sjáland,37457,15622,0,29547,0,NA,NA
2001,NA,NA,NA,Ísrael,43350,0,456,0,1688344,NA,NA
2001,NA,NA,NA,Kanada,250522,0,44032,166484,5435050,NA,NA
2001,NA,NA,NA,Latvía,0,0,0,71,418554,NA,NA
2002,NA,NA,NA,Ísrael,51169,0,354,0,1701231,NA,NA
2002,NA,NA,NA,Kanada,228919,0,39470,140967,0,NA,NA
2002,NA,NA,NA,Latvía,0,0,0,43,0,NA,NA
2003,NA,NA,NA,Ísrael,35180,0,0,0,1699518,NA,NA
2003,NA,NA,NA,Kanada,221377,0,31901,153483,0,NA,NA
2003,NA,NA,NA,Latvía,0,0,0,31,0,NA,NA
2004,NA,NA,NA,Ísrael,30632,0,921,0,1685436,NA,NA
2004,NA,NA,NA,Kanada,235822,0,25631,192447,0,NA,NA
2004,NA,NA,NA,Latvía,0,0,0,82,0,NA,NA
2005,NA,NA,NA,Ísrael,30142,0,906,0,1670453,NA,NA
2005,NA,NA,NA,Kanada,262241,0,20765,198709,0,NA,NA
2005,NA,NA,NA,Latvía,1229,0,0,140,0,NA,NA
2006,NA,NA,NA,Ísrael,26407,0,1348,0,1655758,NA,NA
2006,NA,NA,NA,Kanada,251637,0,22840,260774,6174420,NA,NA
2006,NA,NA,NA,Latvía,2268,0,0,236,0,NA,NA
2007,NA,NA,NA,Ísrael,24251,0,5382,0,1641939,NA,NA
2007,NA,NA,NA,Kanada,236752,0,27700,199852,0,NA,NA
2007,NA,NA,NA,Latvía,2373,0,0,205,0,NA,NA
2008,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,3455,9245
2008,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,295,375
2008,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,395,510
2008,NA,NA,NA,Ísrael,19060,0,7738,0,1625585,NA,NA
2008,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,0,0
2008,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,0,0
2008,NA,NA,NA,Latvía,2445,0,0,153,0,0,10
2008,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,0,20
2008,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,65,40
2008,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1405,1275
2008,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,105,565
2008,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2009,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,3220,11625
2009,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,265,375
2009,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,390,1415
2009,NA,NA,NA,Ísrael,21007,0,809,0,1606449,NA,NA
2009,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,0,0
2009,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1135,2725
2009,NA,NA,NA,Latvía,2121,0,0,141,0,5,35
2009,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,0,85
2009,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,40,100
2009,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1695,885
2009,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,115,425
2009,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2010,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,3450,10335
2010,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,135,375
2010,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,255,780
2010,NA,NA,NA,Ísrael,23239,0,1448,0,1582147,NA,NA
2010,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,0,0
2010,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,420,2015
2010,NA,NA,NA,Latvía,2057,0,0,143,0,20,30
2010,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,0,90
2010,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,20,180
2010,NA,NA,NA,Malta,NA,NA,NA,NA,NA,220,125
2010,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,70,355
2010,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2011,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,4085,9180
2011,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,190,410
2011,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,155,740
2011,NA,NA,NA,Ísrael,22967,0,5745,0,1842780,NA,NA
2011,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,0,0
2011,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,65,2560
2011,NA,NA,NA,Latvía,0,0,0,98,299539,15,75
2011,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,15,35
2011,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,20,285
2011,NA,NA,NA,Malta,NA,NA,NA,NA,NA,885,725
2011,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,80,1000
2011,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2012,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,4455,11440
2012,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,175,465
2012,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,350,745
2012,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,25,120
2012,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,110,1230
2012,NA,NA,NA,Latvía,0,0,189,173,286776,25,120
2012,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,0,50
2012,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,55,330
2012,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1435,160
2012,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,230,1395
2012,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2013,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,4920,11715
2013,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,2455,355
2013,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,360,4180
2013,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,20,165
2013,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,165,630
2013,NA,NA,NA,Latvía,0,0,184,245,277033,30,65
2013,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,5,60
2013,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,50,125
2013,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1610,295
