Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2023-10-01,Tékkland,364455,8155,170,645,60,6.666666666666667,0.1111111111111111
2023-11-01,Tékkland,369335,5635,85,550,NA,NA,NA
2023-12-01,Tékkland,373040,4040,55,NA,NA,NA,NA
2024-01-01,Tékkland,381195,8010,NA,NA,NA,NA,NA
2024-02-01,Tékkland,385080,4535,NA,NA,NA,NA,NA
2022-03-01,Danmörk,1220,1220,455,1650,80,34.44444444444445,0.4241917502787068
2022-04-01,Danmörk,10430,9210,180,1620,76.66666666666667,26.666666666666668,0.34782608695652173
2022-05-01,Danmörk,20710,10280,150,1655,71.11111111111111,23.333333333333332,0.3244766505636071
2022-06-01,Danmörk,25250,4540,165,1575,65.55555555555556,20,0.30112721417069244
2022-07-01,Danmörk,26430,1180,165,1595,60,16.666666666666668,0.2777777777777778
2022-08-01,Danmörk,27940,1510,210,1685,77.77777777777777,36.666666666666664,0.4106753812636166
2022-09-01,Danmörk,29780,1840,220,1695,95.55555555555554,56.666666666666664,0.5435729847494554
2022-10-01,Danmörk,29845,810,265,1800,113.33333333333333,76.66666666666667,0.6764705882352942
2022-11-01,Danmörk,30685,845,235,1815,122.22222222222223,83.88888888888889,0.6851073762838469
2022-12-01,Danmörk,32160,1480,205,1725,131.11111111111111,91.1111111111111,0.6937441643323996
2023-01-01,Danmörk,32925,765,215,1790,140,98.33333333333333,0.7023809523809523
2023-02-01,Danmörk,33875,955,250,1725,143.33333333333334,102.22222222222223,0.7126984126984126
2023-03-01,Danmörk,34840,1010,190,1605,146.66666666666666,106.1111111111111,0.723015873015873
2023-04-01,Danmörk,34930,555,190,1625,150,110,0.7333333333333333
2023-05-01,Danmörk,35350,815,180,1550,148.88888888888889,105,0.7047979797979798
2023-06-01,Danmörk,35650,670,190,1550,147.77777777777777,100,0.6762626262626262
2023-07-01,Danmörk,35955,420,180,1620,146.66666666666666,95,0.6477272727272727
2023-08-01,Danmörk,36890,955,240,1605,128.88888888888889,72.77777777777779,0.5330086580086579
2023-09-01,Danmörk,37455,575,175,1570,111.11111111111113,50.555555555555564,0.41829004329004327
2023-10-01,Danmörk,35755,635,215,1580,93.33333333333333,28.333333333333332,0.30357142857142855
2023-11-01,Danmörk,36075,610,195,1525,NA,NA,NA
2023-12-01,Danmörk,36280,430,155,1460,NA,NA,NA
2024-01-01,Danmörk,36645,575,225,1500,NA,NA,NA
2024-02-01,Danmörk,37145,590,NA,NA,NA,NA,NA
2022-03-01,Þýskaland,NA,NA,17145,262455,16087.77777777778,10436.111111111111,0.6435562812293392
2022-04-01,Þýskaland,NA,NA,14090,258690,17008.333333333332,11710,0.6884860362567369
2022-05-01,Þýskaland,NA,NA,15835,252345,17494.444444444445,11911.111111111111,0.6812530253745274
2022-06-01,Þýskaland,NA,NA,14905,245060,17980.555555555555,12112.22222222222,0.6740200144923179
2022-07-01,Þýskaland,NA,NA,16155,239955,18466.666666666668,12313.333333333334,0.6667870036101083
2022-08-01,Þýskaland,699935,63490,19280,237255,17672.777777777777,11843.888888888889,0.6705116134315031
2022-09-01,Þýskaland,813815,53180,21995,237525,16878.888888888887,11374.444444444445,0.674236223252898
2022-10-01,Þýskaland,873965,38315,27075,245255,16085,10905,0.6779608330742928
2022-11-01,Þýskaland,931660,37150,32510,257615,16695.555555555555,11141.111111111111,0.6680359042200712
2022-12-01,Þýskaland,967840,25635,28495,267525,17306.111111111113,11377.22222222222,0.6581109753658495
2023-01-01,Þýskaland,1005095,28730,32815,278790,17916.666666666668,11613.333333333334,0.6481860465116279
2023-02-01,Þýskaland,1034775,25525,27745,287000,17655,11492.22222222222,0.6510169194210217
2023-03-01,Þýskaland,1067905,29670,29020,291670,17393.333333333332,11371.111111111111,0.6538477923304156
2023-04-01,Þýskaland,1090390,20570,22680,295425,17131.666666666668,11250,0.6566786652398093
2023-05-01,Þýskaland,1111750,21640,25090,300410,17436.111111111113,11183.333333333334,0.6419051081279158
2023-06-01,Þýskaland,1133590,21360,26115,302455,17740.555555555555,11116.666666666666,0.6271315510160221
2023-07-01,Þýskaland,1154035,20665,26635,309345,18045,11050,0.6123579939041286
2023-08-01,Þýskaland,1175885,21760,31235,318620,18494.444444444445,11089.444444444445,0.6002003905734181
2023-09-01,Þýskaland,1195100,19340,31275,329290,18943.888888888887,11128.888888888889,0.5880427872427078
2023-10-01,Þýskaland,1215575,20890,35600,344345,19393.333333333332,11168.333333333334,0.5758851839119973
2023-11-01,Þýskaland,1236170,20365,38260,358590,NA,NA,NA
2023-12-01,Þýskaland,1251455,13905,24370,366760,NA,NA,NA
2024-01-01,Þýskaland,1270405,16680,28095,372430,NA,NA,NA
2024-02-01,Þýskaland,1286880,16020,21175,NA,NA,NA,NA
2022-03-01,Eistland,13810,13985,65,80,9.444444444444445,4.444444444444444,0.5079365079365079
2022-04-01,Eistland,22295,9025,35,95,11.666666666666666,5,0.42857142857142855
2022-05-01,Eistland,25865,3410,30,115,12.777777777777779,5.555555555555556,0.43386243386243384
2022-06-01,Eistland,28015,2470,30,135,13.888888888888888,6.111111111111111,0.43915343915343913
2022-07-01,Eistland,29730,2620,20,150,15,6.666666666666667,0.4444444444444444
2022-08-01,Eistland,32045,2575,20,145,15,6.666666666666667,0.4444444444444444
2022-09-01,Eistland,34025,2400,45,160,15,6.666666666666667,0.4444444444444444
2022-10-01,Eistland,36000,2330,30,160,15,6.666666666666667,0.4444444444444444
2022-11-01,Eistland,37455,1870,30,150,15.555555555555555,7.777777777777778,0.49629629629629635
2022-12-01,Eistland,38385,1185,15,150,16.11111111111111,8.888888888888888,0.5481481481481482
2023-01-01,Eistland,39085,1060,25,110,16.666666666666668,10,0.6
2023-02-01,Eistland,39815,775,25,150,15.555555555555555,7.777777777777779,0.4833333333333334
