Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2023-04-01,Ungverjaland,322.50860022933944,5.833488893037148,0.05208472225926025,0.2604236112963012,0.05208472225926025,0.03472314817284017,0.6666666666666666
2023-05-01,Ungverjaland,327.9254113443025,7.552284727592736,0,0.2604236112963012,0.0405103395349802,0.02893595681070014,0.7777777777777777
2023-06-01,Ungverjaland,331.83176551374703,5.937658337555668,0.05208472225926025,0.15625416677778073,0.02893595681070014,0.02314876544856011,0.8888888888888888
2023-07-01,Ungverjaland,336.0506280167471,5.573065281740846,0,0.15625416677778073,0.017361574086420084,0.017361574086420084,1
2023-08-01,Ungverjaland,341.1549307981546,6.614759726926051,0,0.1041694445185205,0.017361574086420084,0.011574382724280055,0.6666666666666667
2023-09-01,Ungverjaland,344.3841835782288,4.635540281074162,0.05208472225926025,0.15625416677778073,0.017361574086420084,0.005787191362140029,0.33333333333333337
2023-10-01,Ungverjaland,347.14467385796956,4.791794447851943,0.05208472225926025,0.15625416677778073,0.017361574086420084,0,0
2023-11-01,Ungverjaland,351.25936691645114,4.843879170111203,0,0.15625416677778073,NA,NA,NA
2023-12-01,Ungverjaland,352.92607802874744,2.6563208352222727,0,0.15625416677778073,NA,NA,NA
2024-01-01,Ungverjaland,356.7803474759327,4.5313708365556415,0,0.1041694445185205,NA,NA,NA
2022-03-01,Malta,35.05205229766203,35.05205229766203,18.448448577716857,702.8858908110122,16.193638195995906,1.3323879528351064,0.08260764392839864
2022-04-01,Malta,107.9234241796436,72.87137188198159,12.9139140044018,692.739244093268,16.296129576983223,0.9224224288858428,0.05660377358490566
2022-05-01,Malta,183.56206334828272,76.56106159752495,16.60360371994517,643.8508553623183,17.93599167278028,1.7423534767843698,0.09087594567496125
2022-06-01,Malta,216.7692707881731,35.05205229766203,18.448448577716857,634.6266310734599,19.57585376857733,2.5622845246828967,0.12514811776501683
2022-07-01,Malta,228.760762363689,15.681181291059328,12.9139140044018,608.7988030646562,21.215715864374385,3.382215572581424,0.15942028985507245
2022-08-01,Malta,239.82983151031914,15.681181291059328,18.448448577716857,585.7382423425101,22.240629674247547,3.9971638585053193,0.17801015104262213
2022-09-01,Malta,252.74374551472093,16.60360371994517,18.448448577716857,573.7467507669942,23.265543484120702,4.612112144429214,0.19660001223017182
2022-10-01,Malta,264.7352370902369,11.991491575515957,25.8278280088036,560.8328367625925,24.29045729399386,5.227060430353109,0.2151898734177215
2022-11-01,Malta,270.269771663552,10.146646717744272,16.60360371994517,541.4619657559898,22.445612436222177,4.919586287391161,0.2199626478522515
2022-12-01,Malta,279.4939959524104,9.224224288858428,13.836336433287643,525.7807844649304,20.60076757845049,4.612112144429214,0.2247354222867815
2023-01-01,Malta,289.64064267015465,12.9139140044018,11.991491575515957,499.95295645612686,18.755922720678807,4.304638001467266,0.22950819672131148
2023-02-01,Malta,299.78728938789897,15.681181291059328,6.4569570022009,478.7372405917524,19.3708710066027,5.227060430353109,0.2674333251773917
2023-03-01,Malta,307.16666881898567,9.224224288858428,10.146646717744272,449.21972286740544,19.985819292526593,6.149482859238953,0.30535845363347197
2023-04-01,Malta,316.3908931078441,11.069069146630113,11.991491575515957,438.1506537207753,20.60076757845049,7.071905288124795,0.34328358208955223
2023-05-01,Malta,323.77027253893084,9.224224288858428,13.836336433287643,417.8573602852868,19.06339686364075,6.66193976417553,0.3506505931879066
2023-06-01,Malta,326.53753982558834,4.612112144429214,15.681181291059328,416.01251542751515,17.526026148831015,6.251974240226269,0.358017604286261
